State or district,# Clinton,% Clinton,Electoral Votes Clinton,# Trump,% Trump,Electoral Votes Trump,
Alabama,718084,34.60%,0,1306925,62.90%,9,AL
Alaska,93007,37.70%,0,130415,52.90%,3,AK
Arizona,933655,45.40%,0,1017166,49.60%,11,AZ
Arkansas,378729,33.80%,0,677904,60.60%,6,AR
California,5589936,61.50%,55,302195,33.20%,0,CA
Colorado,1208095,47.20%,9,1136354,44.40%,0,CO
Connecticut,823360,53.90%,7,637919,41.70%,0,CT
Delaware,235581,53.40%,3,185103,41.90%,0,DE
"Washington, D.C.",260223,90.50%,3,11553,4.00%,0,DC
Florida,4485745,47.80%,0,4605515,49.10%,29,FL
Georgia,1837300,45.60%,0,2068623,51.30%,16,GA
Hawaii,251853,62.30%,4,121648,30.10%,0,HI
Idaho,189677,27.60%,0,407199,59.20%,4,ID
Illinois,2977498,55.40%,20,2118179,39.40%,0,IL
Indiana,1031953,37.90%,0,1556200,57.20%,11,IN
Iowa,650790,42.20%,0,798923,51.80%,6,IA
Kansas,414788,36.20%,0,65609,57.20%,6,KS
Kentucky,628834,32.70%,0,1202942,62.50%,8,KY
Louisiana,779535,38.40%,0,1178004,58.10%,8,LA
Maine,354873,47.90%,3,334838,45.20%,1,ME
Maryland,149951,60.50%,10,873646,35.30%,0,MD
Massachusetts,1964768,60.80%,11,1083069,33.50%,0,MA
Michigan,2267798,47.30%,0,2279221,47.60%,0,MI
Minnesota,1366676,46.90%,10,1322891,45.40%,0,MN
Mississippi,462001,58.30%,0,678457,58.30%,6,MS
Missouri,1054889,37.80%,0,1585753,56.90%,10,MO
Montana,174521,36.00%,0,274120,56.50%,3,MT
Nebraska,273858,34.00%,0,485819,60.30%,2,NE
Nevada,537753,47.90%,6,511319,45.50%,0,NV
New Hampshire,348521,47.60%,4,345789,47.30%,0,NH
New Jersey,2021756,55.00%,14,1535513,41.80%,0,NJ
New Mexico,380724,48.30%,5,315875,40.00%,0,NM
New York,4143874,58.80%,29,2640570,37.50%,0,NY
North Carolina,2162074,46.70%,0,2339603,50.50%,15,NC
North Dakota,93526,27.20%,0,216133,63.00%,3,ND
Ohio,2317001,43.50%,0,2771984,52.10%,18,OH
Oklahoma,419788,28.90%,0,947934,65.30%,7,OK
Oregon,934631,51.70%,7,742506,41.10%,0,OR
Pennsylvania,2844705,47.60%,0,2912941,48.80%,20,PA
Rhode Island,249902,55.40%,4,179421,39.80%,0,RI
South Carolina,849469,40.80%,0,1143611,54.90%,9,SC
South Dakota,117442,31.70%,0,227701,61.50%,3,SD
Tennessee,867110,34.90%,0,1517402,61.10%,11,TN
Texas,3867816,43.30%,0,4681590,52.40%,38,TX
Utah,237241,27.80%,0,397004,46.60%,6,UT
Vermont,178117,61.10%,3,95050,32.60%,0,VT
Virginia,1916845,49.90%,13,1731156,45.00%,0,VA
Washington,1364934,54.90%,12,950710,38.30%,0,WA
West Virginia,187457,26.50%,0,486198,68.70%,5,WV
Wisconsin,1382210,46.90%,0,1409467,47.90%,10,WI
Wyoming,55969,22.50%,0,174248,70.10%,3,WY